source_id,source_field,cache_array,cache_field,conversion,code_line,rows_checked,mismatches
w9ak-ipjd,applicant_license,dob_water_job_filings,applicant_license,normalize_space,371,75019,0
w9ak-ipjd,applicant_professional_title,dob_water_job_filings,applicant_professional_title,normalize_space,372,75019,0
w9ak-ipjd,owner_s_business_name,dob_water_job_filings,owner_business_name,normalize_space,376,75019,0
rbx6-tga4,job_filing_number,dob_water_permits,job_filing_number,normalize_space,390,56028,0
rbx6-tga4,sequence_number,dob_water_permits,sequence_number,normalize_space,392,56028,0
rbx6-tga4,filing_reason,dob_water_permits,filing_reason,normalize_space,393,56028,0
rbx6-tga4,approved_date,dob_water_permits,approved_date,parse_source_date,394,56028,0
rbx6-tga4,issued_date,dob_water_permits,issued_date,parse_source_date,395,56028,0
rbx6-tga4,expired_date,dob_water_permits,expired_date,parse_source_date,396,56028,0
rbx6-tga4,permit_status,dob_water_permits,permit_status,normalize_space,397,56028,0
rbx6-tga4,borough,dob_water_permits,borough,normalize_space,401,56028,0
rbx6-tga4,work_type,dob_water_permits,work_type,normalize_space,402,56028,0
rbx6-tga4,job_description,dob_water_permits,job_description,normalize_space,403,56028,0
rbx6-tga4,estimated_job_costs,dob_water_permits,estimated_job_costs,_number,404,56028,0
rbx6-tga4,applicant_license,dob_water_permits,applicant_license,normalize_space,409,56028,0
rbx6-tga4,permittee_s_license_type,dob_water_permits,permittee_license_type,normalize_space,410,56028,0
rbx6-tga4,owner_business_name,dob_water_permits,owner_business_name,normalize_space,414,56028,0
5zyy-y8am,report_year,ll84_water_benchmarks,report_year,normalize_space,433,103259,0
5zyy-y8am,property_id,ll84_water_benchmarks,property_id,normalize_space,434,103259,0
5zyy-y8am,property_name,ll84_water_benchmarks,property_name,normalize_space,435,103259,0
5zyy-y8am,year_ending,ll84_water_benchmarks,year_ending,parse_source_date,436,103259,0
5zyy-y8am,address_1,ll84_water_benchmarks,address,normalize_space,441,103259,0
5zyy-y8am,city,ll84_water_benchmarks,city,normalize_space,442,103259,0
5zyy-y8am,postal_code,ll84_water_benchmarks,postal_code,normalize_space,443,103259,0
5zyy-y8am,metered_areas_water,ll84_water_benchmarks,metered_areas_water,normalize_space,444,103259,0
5zyy-y8am,water_use_all_water_sources,ll84_water_benchmarks,water_use_all_sources_kgal,_number,445,103259,0
5zyy-y8am,indoor_water_use_all_water,ll84_water_benchmarks,indoor_water_use_all_sources_kgal,_number,446,103259,0
5zyy-y8am,outdoor_water_use_all_water,ll84_water_benchmarks,outdoor_water_use_all_sources_kgal,_number,447,103259,0
5zyy-y8am,municipally_supplied_potable,ll84_water_benchmarks,municipal_potable_mixed_kgal,_number,448,103259,0
5zyy-y8am,municipally_supplied_potable_1,ll84_water_benchmarks,municipal_potable_total_kgal,_number,449,103259,0
5zyy-y8am,municipally_supplied_potable_2,ll84_water_benchmarks,municipal_potable_indoor_kgal,_number,450,103259,0
5zyy-y8am,municipally_supplied_potable_3,ll84_water_benchmarks,municipal_potable_outdoor_kgal,_number,451,103259,0
5zyy-y8am,estimated_values_water,ll84_water_benchmarks,estimated_values_water,normalize_space,452,103259,0
5zyy-y8am,alert_water_meter_has_less,ll84_water_benchmarks,water_meter_alert_less_than_12_months,normalize_space,453,103259,0
5zyy-y8am,last_modified_date_water,ll84_water_benchmarks,last_modified_date_water,parse_source_date,454,103259,0
